Date,Value
2016-05-10,2158372.64203
2016-05-09,1438419.86101
2016-05-08,667993.263726
2016-05-07,1825474.70861
2016-05-06,1908047.64042
2016-05-05,998898.495812
2016-05-04,1503860.56974
2016-05-03,2669753.97353
2016-05-02,2445923.47287
2016-05-01,709130.856737
2016-04-30,1140251.89857
2016-04-29,1490269.36609
2016-04-28,4344106.55584
2016-04-27,2633843.9851
2016-04-26,2983376.38144
2016-04-25,3423984.86218
2016-04-24,1773454.7659
2016-04-23,855534.182333
2016-04-22,3008293.85135
2016-04-21,2147892.6357
2016-04-20,3338048.4205
2016-04-19,1262648.78438
2016-04-18,1344097.77437
2016-04-17,641867.11474
2016-04-16,970785.7635
2016-04-15,1803733.63314
2016-04-14,1708146.94161
2016-04-13,2004657.64062
2016-04-12,2215697.43795
2016-04-11,1379423.14301
2016-04-10,677591.797976
2016-04-09,2170687.83728
2016-04-08,1542537.11415
2016-04-07,1136016.78657
2016-04-06,1068243.24096
2016-04-05,1675286.57027
2016-04-04,1352351.23304
2016-04-03,513944.810518
2016-04-02,1124673.54497
2016-04-01,1567819.67775
2016-03-31,1607678.21988
2016-03-30,1949470.17095
2016-03-29,2353611.33346
2016-03-28,1558051.46344
2016-03-27,1830831.11589
2016-03-26,632689.26319
2016-03-25,1044953.03965
2016-03-24,1551346.88503
2016-03-23,1841920.94039
2016-03-22,1559157.21947
2016-03-21,1551456.85777
2016-03-20,890150.049624
2016-03-19,1726882.37997
2016-03-18,2085791.96979
2016-03-17,1745496.90153
2016-03-16,1721925.05834
2016-03-15,1886749.72499
2016-03-14,1805974.84531
2016-03-13,1271711.97328
2016-03-12,2046654.80041
2016-03-11,2460188.32906
2016-03-10,2263213.29527
2016-03-09,2099721.51638
2016-03-08,2462718.3808
2016-03-07,2213183.00411
2016-03-06,2609692.28617
2016-03-05,7358905.89896
2016-03-04,2534594.06151
2016-03-03,3168588.89829
2016-03-02,2555701.55995
2016-03-01,2745580.55107
2016-02-29,3355863.50661
2016-02-28,1426175.54751
2016-02-27,2185656.58815
2016-02-26,1720670.37086
2016-02-25,2352423.75636
2016-02-24,3206478.21378
2016-02-23,4467627.64513
2016-02-22,2356175.13185
2016-02-21,5686825.78411
2016-02-20,3781532.48982
2016-02-19,2479707.55159
2016-02-18,4208388.25107
2016-02-17,4189919.67031
2016-02-16,3321746.03168
2016-02-15,3656329.93239
2016-02-14,3514906.87256
2016-02-13,2860458.2349
2016-02-12,2656527.25188
2016-02-11,2291136.78898
2016-02-10,3821055.05322
2016-02-09,3001751.49455
2016-02-08,1627261.08192
2016-02-07,1131189.26199
2016-02-06,2407116.76063
2016-02-05,3975579.90036
2016-02-04,4163133.912
2016-02-03,2349071.29729
2016-02-02,2379253.18225
2016-02-01,2777039.42907
2016-01-31,1201012.97114
2016-01-30,1620409.81609
